Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Kirk,McLean,HAM,G,01,8,4,4,4,4,4,0,0,0,0,4,4,3,3
1,Mike,Gartner,HAM,F,22,7,5,5,4,4,5,2,3,5,3,5,5,5,2
2,Evgeny,Davydov,HAM,F,13,6,4,4,3,3,4,1,3,3,4,3,5,3,2
3,Terry,Yake,HAM,F,25,6,3,3,4,3,3,3,3,3,4,4,0,3,2
4,Geoff,Courtnall,HAM,F,14,7,5,5,4,3,3,1,4,4,3,3,2,4,4
5,Craig,Simpson,HAM,F,18,8,3,3,4,3,4,2,3,4,5,3,1,3,2
6,Kirk,Muller,HAM,D,11,9,4,4,4,4,4,4,4,4,4,4,1,4,3
7,Chris,Chelios,HAM,D,07,7,4,4,4,6,5,4,7,5,1,6,2,4,5
8,Glen,Wesley,HAM,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
9,Sean,Burke,BOS,G,01,10,4,3,2,2,4,0,0,0,0,4,4,4,4
10,Stephan,Lebeau,BOS,F,47,5,4,4,4,3,3,2,1,4,5,4,0,3,1
11,Brian,Bradley,BOS,F,19,4,4,3,4,3,4,3,3,3,5,4,2,3,3
12,Perry,Berezan,BOS,F,16,7,4,4,2,2,2,3,3,2,2,2,5,3,3
13,John,Cullen,BOS,F,29,7,4,3,4,3,3,2,3,4,4,4,1,4,3
14,Darren,Turcotte,BOS,F,08,6,4,4,4,3,3,2,4,4,3,4,4,3,2
15,Wayne,Gretzky,BOS,D,99,4,6,4,5,4,2,2,2,6,2,6,0,6,0
16,Don,Sweeney,BOS,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
17,Petr,Svoboda,BOS,D,07,5,4,4,3,4,3,3,6,4,0,4,0,3,3
18,Goalie,01,BUF,G,30,6,4,3,3,3,4,0,0,0,0,4,3,3,4
19,Forward,01,BUF,F,01,6,4,4,4,3,3,3,0,4,4,3,3,4,3
20,Forward,02,BUF,F,02,6,4,4,4,3,3,3,1,4,4,3,3,4,3
21,Forward,03,BUF,F,03,6,4,4,4,3,3,3,0,4,4,3,3,4,3
22,Forward,04,BUF,F,04,6,4,4,4,3,3,3,1,4,4,3,3,4,3
23,Forward,05,BUF,F,05,6,4,4,4,3,3,3,0,4,4,3,3,4,3
24,Defenseman,01,BUF,D,06,6,4,4,3,4,4,3,0,4,3,3,3,4,3
25,Defenseman,02,BUF,D,07,6,4,4,3,4,4,3,1,4,3,3,3,4,3
26,Defenseman,03,BUF,D,08,6,4,4,3,4,4,3,0,4,3,3,3,4,3
27,Mike,Vernon,CGY,G,30,4,3,4,4,4,4,0,0,0,0,4,4,3,3
28,Russ,Courtnall,CGY,F,26,6,5,6,4,2,4,2,1,3,3,3,4,3,2
29,Pierre,Turgeon,CGY,F,77,9,4,4,5,3,4,3,4,4,5,5,1,4,1
30,Vincent,Damphousse,CGY,F,25,6,4,4,4,3,3,2,0,5,3,4,2,4,3
31,Alexei,Zhamnov,CGY,F,10,7,5,3,4,3,3,3,0,5,4,4,1,5,2
32,Gord,Murphy,CGY,F,28,8,5,4,2,3,4,4,9,3,1,3,3,3,3
33,Brian,Leetch,CGY,D,02,6,6,3,4,4,4,2,6,5,1,5,2,5,2
34,Tommy,Sjodin,CGY,D,33,6,4,3,3,3,4,2,1,3,1,3,3,3,1
35,Mikael,Nylander,CGY,D,36,5,4,3,3,2,3,2,2,3,2,3,1,3,2
36,Chris,Terreri,CHI,G,31,2,4,4,4,4,3,0,0,0,0,3,3,3,3
37,Paul,Coffey,CHI,F,07,9,6,5,4,3,4,2,4,6,1,5,1,5,3
38,Ray,Bourque,CHI,F,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
39,Pat,Verbeek,CHI,F,16,7,3,4,4,3,4,3,7,4,4,4,2,4,4
40,Kevin,Dineen,CHI,F,20,7,4,5,3,4,2,2,7,3,3,4,5,3,4
41,Claude,Lemieux,CHI,F,22,11,4,4,4,3,4,3,7,3,2,4,3,3,4
42,Mark,Messier,CHI,D,11,10,5,4,4,4,3,5,4,5,3,4,0,5,3
