Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Gerry,Cheevers,BOS,G,31,6,4,3,3,3,4,0,0,0,0,4,4,5,4
1,Ed,Johnston,BOS,G,01,6,3,4,5,5,3,0,0,0,0,4,3,4,3
2,Bernie,Parent,BOS,G,30,5,4,4,2,2,4,0,0,0,0,4,3,4,3
3,Johnny,Bucyk,BOS,F,09,9,4,3,4,4,4,5,0,4,6,5,2,4,1
4,John,McKenzie,BOS,F,19,4,3,4,4,3,4,3,5,4,4,4,2,4,4
5,Pit,Martin,BOS,F,07,4,4,4,4,3,4,2,5,4,3,4,0,4,3
6,Ed,Westfall,BOS,F,18,7,4,3,3,4,3,4,1,3,3,4,1,4,2
7,Murray,Oliver,BOS,F,16,4,4,4,4,2,3,1,0,4,3,4,2,4,1
8,Wayne,Connelly,BOS,F,17,4,3,4,3,4,3,3,1,3,3,3,3,3,1
9,Ron,Schock,BOS,F,23,6,3,3,3,3,3,3,0,3,3,3,5,3,0
10,Ron,Murphy,BOS,F,28,6,3,3,3,3,3,3,0,3,2,4,5,3,0
11,Ron,Stewart,BOS,F,12,7,2,3,3,3,3,1,3,2,4,4,4,2,2
12,Bobby,Orr,BOS,D,04,7,6,5,4,3,4,2,8,6,1,5,1,5,4
13,Ted,Green,BOS,D,06,8,4,4,3,5,5,4,3,4,1,5,4,3,3
14,Gillies,Marotte,BOS,D,10,8,4,4,3,4,4,4,4,4,1,4,1,4,4
15,Joe,Watson,BOS,D,14,6,2,3,2,4,2,3,0,3,1,4,1,4,2
16,Bob,Woytowich,BOS,D,08,6,2,2,2,4,3,3,3,3,2,4,1,3,3
17,Dallas,Smith,BOS,D,20,5,3,3,2,2,2,4,0,2,3,2,3,2,2
18,Glenn,Hall,CHI,G,01,5,6,4,4,4,6,0,0,0,0,5,5,6,6
19,Dennis,DeJordy,CHI,G,30,6,5,4,5,5,5,0,0,0,0,4,4,5,5
20,Stan,Mikita,CHI,F,21,4,5,4,6,4,3,3,1,5,4,6,0,5,1
21,Bobby,Hull,CHI,F,09,7,5,5,4,4,5,2,4,5,5,5,2,5,3
22,Kenny,Wharram,CHI,F,17,3,5,5,3,2,4,1,3,5,5,4,5,3,2
23,Phil,Esposito,CHI,F,07,8,4,4,4,3,4,2,0,4,5,4,2,4,3
24,Doug,Mohns,CHI,F,11,6,4,5,4,4,3,3,4,3,4,3,3,3,3
25,Dennis,Hull,CHI,F,10,7,4,4,4,3,5,2,2,4,3,4,1,4,2
26,Chico,Maki,CHI,F,16,4,3,2,4,5,3,4,1,4,3,5,1,3,1
27,Ken,Hodge,CHI,F,14,9,2,2,5,4,4,3,5,3,5,4,1,3,3
28,Eric,Nesterenko,CHI,F,15,7,4,3,3,5,3,4,5,3,2,4,5,3,2
29,Pierre,Pilote,CHI,D,03,5,4,4,4,6,5,4,0,5,1,6,2,4,4
30,Pat,Stapleton,CHI,D,12,5,4,4,4,4,4,2,2,4,2,4,1,4,3
31,Doug,Jarrett,CHI,D,20,8,4,3,3,5,3,3,0,4,2,4,1,3,3
32,Ed,VanImpe,CHI,D,02,8,3,3,2,4,2,4,4,2,1,3,2,1,4
33,Matt,Ravlich,CHI,D,05,6,2,2,2,3,2,3,2,3,1,3,4,3,2
34,Wayne,Smith,CHI,D,04,7,2,2,1,2,1,2,0,2,0,1,4,1,0
35,Roger,Crozier,DET,G,01,3,3,4,4,4,4,0,1,0,0,4,4,3,3
36,Hank,Bassen,DET,G,30,5,3,3,4,4,4,0,0,0,0,2,2,2,3
37,George,Gardner,DET,G,31,3,2,4,4,4,3,0,0,0,0,3,3,2,2
38,Gordie,Howe,DET,F,09,8,4,4,5,4,4,4,3,4,5,5,3,4,3
39,Norm,Ullman,DET,F,07,4,5,4,4,2,5,2,0,5,5,4,1,4,2
40,Alex,Delvecchio,DET,F,10,7,3,4,5,3,3,3,0,4,4,5,3,4,1
41,Bruce,MacGregor,DET,F,12,5,4,4,4,4,3,2,1,4,4,3,3,4,1
42,Ted,Hampson,DET,F,16,4,4,4,3,4,3,2,0,3,3,4,1,3,0
43,Dean,Prentice,DET,F,20,5,3,3,3,4,3,3,0,4,3,3,1,3,1
44,Paul,Henderson,DET,F,19,5,4,4,3,3,4,1,1,3,4,3,5,3,1
45,Andy,Bathgate,DET,F,21,5,4,4,3,3,3,2,3,3,2,3,4,4,2
46,Floyd,Smith,DET,F,17,5,3,3,3,2,2,2,3,2,4,2,5,2,0
47,Gary,Bergman,DET,D,02,6,5,4,2,3,4,4,6,3,1,3,3,3,5
48,Leo,Boivin,DET,D,04,5,4,2,2,4,4,4,0,4,1,3,0,4,3
49,Bert,Marshall,DET,D,03,8,3,3,2,4,3,4,4,3,1,4,2,3,3
50,Howie,Young,DET,D,22,4,3,2,2,4,2,3,5,2,0,3,3,2,4
51,Pete,Goegan,DET,D,23,7,2,2,2,3,2,3,0,2,1,3,0,2,1
52,Bryan,Watson,DET,D,18,4,2,2,2,3,3,2,5,2,0,4,0,2,3
53,Rogie,Vachon,MTL,G,29,4,4,4,6,6,4,0,0,0,0,4,4,4,4
54,Gump,Worsley,MTL,G,01,5,4,4,4,4,4,0,0,0,0,4,4,3,3
55,Charlie,Hodge,MTL,G,30,1,4,4,4,4,3,0,0,0,0,3,3,3,3
56,Jean,Beliveau,MTL,F,04,8,5,4,4,4,3,5,0,5,3,4,0,5,2
57,Henri,Richard,MTL,F,16,3,5,4,4,3,3,2,3,5,3,6,0,4,2
58,John,Ferguson,MTL,F,22,6,3,3,5,4,4,2,12,4,5,4,2,4,5
59,Bobby,Rousseau,MTL,F,15,5,4,4,4,3,3,2,1,4,5,4,0,3,3
60,Claude,LaRose,MTL,F,11,5,4,4,4,3,4,2,5,4,4,4,2,4,4
61,Gillies,Tremblay,MTL,F,21,4,4,4,4,3,3,2,2,5,3,4,2,4,1
62,Yvan,Cournoyer,MTL,F,12,5,5,6,4,2,4,2,0,3,3,3,4,3,1
63,Ralph,Backstrom,MTL,F,06,3,4,3,3,5,2,5,4,3,4,4,1,2,2
64,Claude,Provost,MTL,F,14,4,4,2,3,5,3,4,3,3,4,4,2,3,1
65,Jacques,Laperriere,MTL,D,02,6,4,3,4,5,4,3,0,4,2,5,1,4,3
66,J.C.,Tremblay,MTL,D,03,4,4,4,4,4,4,3,0,4,1,4,3,4,1
67,Jean-Guy,Talbot,MTL,D,17,4,3,4,3,3,3,3,2,4,2,4,2,4,3
68,Ted,Harris,MTL,D,10,5,3,3,3,4,4,4,4,3,3,4,2,2,4
69,Terry,Harper,MTL,D,19,8,4,3,2,4,4,3,7,3,2,4,4,2,4
70,Jimmy,Roberts,MTL,D,26,6,3,3,3,3,3,3,1,2,2,4,3,2,1
71,Ed,Giacomin,NY,G,01,5,6,4,6,6,5,0,0,0,0,6,6,5,5
72,Cesare,Maniago,NY,G,30,7,3,4,3,3,3,0,0,0,0,3,3,3,3
73,Don,Marshall,NY,F,22,3,5,5,3,4,4,5,0,4,2,4,4,4,0
74,Rod,Gilbert,NY,F,07,5,4,4,5,4,4,1,1,4,5,4,0,4,1
75,Phil,Goyette,NY,F,20,4,5,4,4,4,3,2,0,5,1,3,0,5,0
76,Bernie,Geoffrion,NY,F,05,3,4,4,4,3,5,2,1,4,3,4,4,3,3
77,Jean,Ratelle,NY,F,19,5,4,4,4,2,3,2,0,4,4,4,2,4,0
78,Vic,Hadfield,NY,F,11,6,4,4,3,4,3,4,8,4,2,4,2,3,4
79,Bob,Nevin,NY,F,08,6,4,4,4,3,3,2,1,4,3,4,4,3,0
80,Orland,Kurtenbach,NY,F,25,5,4,4,4,3,2,3,4,3,3,4,5,3,3
81,Earl,Ingarfield,NY,F,10,6,4,3,3,3,4,2,0,4,3,3,4,4,1
82,Harry,Howell,NY,D,03,7,5,4,4,5,4,4,0,4,2,5,2,4,3
83,Arnie,Brown,NY,D,04,6,4,3,2,4,3,4,2,4,1,3,1,3,3
84,Jim,Neilson,NY,D,15,8,3,3,4,4,3,3,4,2,2,4,1,3,3
85,Wayne,Hillman,NY,D,02,8,3,3,3,4,3,3,3,3,2,3,1,3,3
