Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Guy,Hebert,ANH,G,29,6,2,3,3,3,2,0,0,0,0,2,2,2,2
1,Ron,Tugnutt,ANH,G,01,2,2,3,3,3,1,0,0,0,0,1,1,1,2
2,Steven,King,ANH,F,27,7,2,2,3,2,2,1,3,2,3,3,4,2,2
3,Troy,Loney,ANH,F,24,10,2,3,2,3,2,4,6,2,1,3,2,1,3
4,Stu,Grimson,ANH,F,23,11,1,1,0,2,1,3,10,1,1,2,5,1,4
5,Terry,Yake,ANH,F,25,6,3,3,4,3,3,3,3,3,4,4,0,3,2
6,Bob,Corkum,ANH,F,30,10,2,2,1,3,2,2,3,2,2,3,5,2,2
7,Anatoli,Semenov,ANH,F,20,7,3,3,3,4,3,2,0,3,3,4,0,3,2
8,Lonnie,Loach,ANH,F,28,6,2,3,3,2,2,2,6,2,3,2,2,2,2
9,Robin,Bawa,ANH,F,26,11,2,2,1,1,2,1,5,1,4,1,3,2,3
10,Tim,Sweeney,ANH,F,41,5,2,2,3,2,2,1,0,2,2,1,4,1,1
11,Alexei,Kasatonov,ANH,D,07,11,4,3,2,3,4,4,4,4,1,3,1,4,2
12,Sean,Hill,ANH,D,38,8,2,2,2,2,2,3,5,2,1,2,3,1,4
13,Randy,Ladouceur,ANH,D,39,11,3,3,1,3,1,2,4,2,1,3,5,1,4
14,David,Williams,ANH,D,03,8,2,2,2,2,2,2,5,2,0,2,2,1,3
15,Bill,Houlder,ANH,D,33,11,3,2,3,3,2,3,4,2,2,2,4,2,1
16,Bobby,Dollas,ANH,D,32,11,2,1,1,2,1,2,1,1,0,2,1,1,1
17,Dennis,Vial,ANH,D,17,11,1,1,1,2,1,3,8,1,0,2,1,1,3
18,Andy,Moog,BOS,G,35,4,4,4,2,2,4,0,0,0,0,4,3,4,3
19,John,Blue,BOS,G,39,6,3,4,5,5,3,0,0,0,0,4,3,4,3
20,Adam,Oates,BOS,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
21,Dave,Poulin,BOS,F,19,7,4,3,3,4,3,4,4,3,3,4,1,4,2
22,Vladimir,Ruzicka,BOS,F,38,10,4,4,3,3,4,2,6,4,3,3,3,3,2
23,Ted,Donato,BOS,F,21,4,3,4,3,4,3,3,0,3,3,3,3,3,2
24,Joe,Juneau,BOS,F,49,5,4,4,4,3,4,2,0,4,3,4,0,4,1
25,Dmitri,Kvartalnov,BOS,F,10,6,4,4,4,2,3,2,0,4,3,4,2,4,1
26,Dave,Reid,BOS,F,17,9,2,3,3,3,3,1,4,2,4,4,4,2,0
27,Gregori,Pantaleyev,BOS,F,13,6,4,4,2,2,2,1,2,3,3,2,4,3,1
28,Brent,Hughes,BOS,F,42,6,3,3,1,3,2,3,6,3,2,2,5,3,4
29,Cam,Neely,BOS,F,08,10,4,4,5,4,4,4,9,4,5,5,3,4,4
30,Stephen,Leach,BOS,F,27,6,3,3,3,3,3,3,7,3,2,4,5,3,3
31,Stephen,Heinze,BOS,F,23,6,3,3,3,3,3,3,3,3,3,3,5,3,1
32,C.J.,Young,BOS,F,18,6,3,3,2,2,3,2,5,3,3,2,3,2,2
33,Darin,Kimble,BOS,F,29,9,1,1,2,1,1,2,9,2,4,1,3,1,5
34,Peter,Douris,BOS,F,16,8,3,4,3,3,3,2,5,3,3,2,4,2,1
35,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
36,Don,Sweeney,BOS,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
37,Glen,Wesley,BOS,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
38,David,Shaw,BOS,D,34,9,2,2,2,4,2,3,3,2,2,4,5,2,3
39,Gord,Murphy,BOS,D,28,8,5,4,2,3,4,4,9,3,1,3,3,3,3
40,Gordie,Roberts,BOS,D,14,7,3,2,2,3,1,3,4,2,3,3,0,2,3
41,Glen,Feathrston,BOS,D,06,11,3,3,2,2,2,4,8,2,3,2,3,2,4
42,Jim,Wiemer,BOS,D,36,10,2,1,2,2,1,2,8,2,0,2,3,2,4
43,Grant,Fuhr,BUF,G,31,7,5,4,5,5,5,0,1,0,0,4,4,5,5
44,Tom,Draper,BUF,G,35,6,2,3,3,3,2,0,0,0,0,2,2,2,2
45,Dominik,Hasek,BUF,G,39,4,3,3,5,5,2,0,0,0,0,2,2,2,2
46,Pat,LaFontaine,BUF,F,16,5,5,4,6,4,3,3,3,5,4,6,0,5,2
47,Dale,Hawerchuk,BUF,F,10,6,5,4,4,4,3,2,0,5,1,3,0,5,2
48,Bob,Sweeney,BUF,F,20,9,4,2,3,5,3,4,7,3,4,4,2,3,3
49,Dave,Hannan,BUF,F,14,6,2,2,2,3,2,2,6,2,3,2,0,2,2
50,Randy,Wood,BUF,F,19,8,1,5,3,3,2,3,6,2,2,3,4,2,3
51,Yuri,Khmylev,BUF,F,13,7,4,3,3,4,4,3,1,3,4,3,3,3,2
52,Brad,May,BUF,F,27,9,2,2,2,2,2,3,10,2,3,2,5,1,4
53,Bob,Errey,BUF,F,12,6,4,4,2,4,2,4,4,3,2,4,5,2,3
54,Rob,Ray,BUF,F,32,10,3,4,1,1,1,3,10,2,2,1,5,1,4
55,Alexnder,Mogilny,BUF,F,89,7,6,6,6,3,4,2,4,5,5,4,4,5,2
56,Wayne,Presley,BUF,F,18,6,3,3,3,3,4,2,7,2,3,3,3,2,3
57,Donald,Audette,BUF,F,28,5,3,3,3,3,3,2,9,3,3,3,5,2,3
58,Bob,Corkum,BUF,F,29,10,2,2,1,3,2,2,3,2,2,3,5,2,2
59,Colin,Patterson,BUF,F,17,8,4,4,2,3,1,3,5,2,3,2,5,2,2
60,Doug,Bodger,BUF,D,08,10,2,3,3,4,2,3,6,2,1,4,1,3,3
61,Petr,Svoboda,BUF,D,07,5,4,4,3,4,3,3,6,4,0,4,0,3,3
62,Richard,Smehlik,BUF,D,42,10,3,3,3,4,3,4,4,3,1,3,0,3,2
63,Ken,Sutton,BUF,D,41,8,2,2,2,4,2,1,4,1,2,3,2,3,2
64,Grant,Ledyard,BUF,D,03,9,4,3,2,3,1,3,12,1,0,2,3,2,3
65,Gord,Donnelly,BUF,D,34,9,1,2,2,3,1,3,11,1,1,2,2,2,5
66,Randy,Moller,BUF,D,24,10,3,2,2,1,2,3,9,2,1,1,1,2,4
67,Keith,Carney,BUF,D,06,9,2,3,2,1,2,3,6,2,2,1,4,2,4
68,Mike,Vernon,CGY,G,30,4,3,4,4,4,4,0,0,0,0,4,4,3,3
69,Jeff,Reese,CGY,G,35,4,2,3,4,4,2,0,0,0,0,2,2,3,3
70,Joe,Nieuwendyk,CGY,F,25,8,4,4,4,3,4,3,4,4,4,4,3,2,2
71,Robert,Reichel,CGY,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
72,Joel,Otto,CGY,F,29,11,4,3,3,5,2,5,7,3,4,4,1,2,4
73,Brian,Skrudland,CGY,F,39,8,4,2,2,4,2,4,6,3,3,4,4,3,4
74,Gary,Roberts,CGY,F,10,7,4,4,5,4,4,4,8,4,5,5,1,3,4
75,Paul,Ranheim,CGY,F,28,8,4,4,3,4,3,1,3,4,3,3,4,3,1
76,Brent,Ashton,CGY,F,15,10,3,3,3,4,3,4,6,3,2,4,4,3,3
77,Chris,Lindberg,CGY,F,11,7,3,4,2,3,2,2,4,3,3,2,3,2,1
78,Craig,Berube,CGY,F,16,9,2,3,1,1,2,2,10,1,1,1,4,1,4
79,Theoren,Fleury,CGY,F,14,3,5,5,4,5,4,4,7,4,3,6,1,3,3
80,Sergei,Makarov,CGY,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
81,Greg,Paslawski,CGY,F,23,7,2,2,3,1,3,2,1,3,4,2,2,2,0
82,Ronnie,Stern,CGY,F,22,8,2,2,2,1,2,3,7,2,3,1,3,2,4
83,Gary,Suter,CGY,D,20,7,5,4,4,5,4,4,6,4,2,5,2,4,3
84,Al,MacInnis,CGY,D,02,8,4,4,4,3,6,3,5,4,1,5,2,4,3
85,Roger,Johansson,CGY,D,34,7,4,3,2,2,2,3,4,3,1,2,3,3,2
86,Trent,Yawney,CGY,D,18,7,3,2,2,4,2,3,6,3,0,3,1,3,3
87,Frank,Musil,CGY,D,03,9,4,4,2,3,2,3,6,2,1,3,5,2,3
88,Michel,Petit,CGY,D,07,9,3,3,2,3,4,3,9,4,1,3,3,3,3
89,Kevin,Dahl,CGY,D,04,7,2,3,2,4,2,3,3,3,1,3,1,3,2
90,Chris,Dahlquist,CGY,D,05,8,3,3,1,4,3,3,4,3,1,3,5,2,3
91,Alexnder,Godynyuk,CGY,D,21,10,2,3,2,2,2,3,8,2,2,3,5,1,2
92,Greg,Smyth,CGY,D,06,10,0,0,1,0,0,1,9,0,1,1,4,0,4
93,Ed,Belfour,CHI,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
94,Jim,Waite,CHI,G,29,6,3,3,3,3,2,0,0,0,0,2,2,3,3
95,Jeremy,Roenick,CHI,F,27,4,5,5,4,4,5,2,3,5,5,5,2,5,3
96,Christan,Ruuttu,CHI,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
