Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,John,Gibson,ANA,G,36,9,4,4,4,4,5,0,0,0,0,5,5,4,5
1,Ryan,Miller,ANA,G,30,3,3,3,5,5,2,0,0,0,0,3,4,3,4
2,Jakob,Silfverberg,ANA,F,33,8,4,4,4,4,4,1,1,4,4,5,5,4,0
3,Ryan,Getzlaf,ANA,F,15,10,3,3,5,4,4,3,5,4,3,6,1,6,3
4,Rickard,Rakell,ANA,F,67,8,5,4,4,2,4,2,1,3,5,5,5,4,0
5,Adam,Henrique,ANA,F,14,6,4,3,4,3,2,2,0,4,5,5,2,3,0
6,Ondrej,Kase,ANA,F,25,5,4,4,4,2,3,0,1,4,4,5,3,3,2
7,Max,Comtois,ANA,F,53,8,3,4,3,2,3,4,6,3,4,4,3,3,4
8,Cam,Fowler,ANA,D,04,8,3,5,4,4,4,1,4,4,3,6,3,4,0
9,Hampus,Lindholm,ANA,D,47,8,5,4,3,5,4,3,0,3,2,6,1,3,1
10,Josh,Manson,ANA,D,42,9,4,3,3,4,3,5,7,2,1,6,2,3,3
11,Erik,Gudbranson,ANA,D,06,10,3,3,2,3,3,5,7,3,2,6,1,1,4
12,Semyon,Varlamov,ARI,G,40,7,5,4,5,5,4,0,0,0,0,4,5,4,5
13,Henrik,Lundqvist,ARI,G,30,5,4,3,5,5,4,0,0,0,0,3,5,4,6
14,Leon,Draisaitl,ARI,F,29,8,6,4,6,4,4,1,4,5,6,6,4,6,0
15,Evgeni,Malkin,ARI,F,71,7,5,5,6,3,3,1,2,5,5,5,2,6,4
16,Gabriel,Landeskog,ARI,F,92,9,4,4,5,4,4,4,2,4,4,6,3,4,2
17,Ilya,Kovalchuk,ARI,F,17,11,4,4,5,3,5,1,1,4,4,5,5,3,0
18,Anthony,Mantha,ARI,F,39,12,4,4,4,3,4,2,0,3,5,5,5,4,3
19,Mike,Hoffman,ARI,F,68,5,4,5,5,2,4,1,0,3,5,5,5,5,1
20,Dougie,Hamilton,ARI,D,19,10,5,4,4,4,5,3,1,4,3,6,4,5,1
21,Jaccob,Slavin,ARI,D,74,8,6,4,3,5,3,2,0,4,3,6,3,4,0
22,Aaron,Ekblad,ARI,D,05,10,4,4,3,5,4,2,5,4,3,6,3,4,1
23,Jamie,Oleksiak,ARI,D,02,14,2,3,2,3,4,5,6,2,1,5,2,3,3
24,Sergei,Bobrovsky,BOS,G,72,4,5,4,5,5,5,0,0,0,0,4,5,4,5
25,Jaroslav,Halak,BOS,G,41,5,4,4,5,5,4,0,0,0,0,3,4,4,4
26,Sidney,Crosby,BOS,F,87,7,6,5,6,4,4,1,2,5,6,6,4,6,1
27,Patrice,Bergeron,BOS,F,37,6,5,4,5,6,3,1,5,5,5,5,4,4,1
28,Ryan,O'Reilly,BOS,F,90,9,5,4,5,5,2,0,0,5,5,6,2,5,0
29,Mika,Zibanejad,BOS,F,93,8,4,4,5,3,4,3,1,4,5,6,3,5,0
30,Timo,Meier,BOS,F,28,9,4,4,4,3,4,4,0,4,5,5,5,3,3
31,Max,Pacioretty,BOS,F,67,8,4,3,5,3,4,3,0,4,5,5,5,4,1
32,Shea,Weber,BOS,D,06,11,4,3,4,5,6,5,9,3,2,6,3,4,3
33,Miro,Heiskanen,BOS,D,04,5,5,5,4,4,4,1,0,4,3,6,3,4,1
34,Keith,Yandle,BOS,D,03,6,4,5,5,4,2,0,0,4,3,6,2,6,1
35,Ivan,Provorov,BOS,D,09,7,4,4,4,4,4,3,0,3,4,6,3,4,2
36,Carter,Hutton,BUF,G,40,6,4,4,4,4,4,0,0,0,0,4,5,3,4
37,Linus,Ullmark,BUF,G,35,9,4,3,4,4,4,0,0,0,0,3,3,4,4
38,Jack,Eichel,BUF,F,09,8,6,5,5,3,4,1,1,5,5,6,4,6,0
39,Jeff,Skinner,BUF,F,53,5,5,4,5,3,4,0,0,4,5,5,5,3,0
40,Sam,Reinhart,BUF,F,23,6,5,4,4,2,4,1,1,5,4,6,4,4,0
41,Victor,Olofsson,BUF,F,68,4,4,4,4,3,3,1,0,4,5,5,4,4,1
42,Marcus,Johansson,BUF,F,90,8,4,3,4,2,2,1,0,4,4,5,2,4,0
43,Michael,Frolik,BUF,F,67,7,4,4,3,4,4,1,0,3,3,4,3,4,0
44,Rasmus,Dahlin,BUF,D,26,6,5,4,4,4,4,3,0,5,2,6,3,5,2
45,Rasmus,Ristolainen,BUF,D,55,9,4,3,4,4,4,6,1,3,1,6,3,4,0
46,Henri,Jokiharju,BUF,D,10,6,4,4,3,4,3,2,1,3,2,5,2,4,2
47,Brandon,Montour,BUF,D,62,6,3,4,3,4,3,2,1,3,2,6,3,4,3
48,Andrei,Vasilevskiy,CGY,G,38,7,5,4,5,5,5,0,0,0,0,5,6,4,5
49,Ilya,Samsonov,CGY,G,30,7,5,4,4,4,4,0,0,0,0,4,4,4,4
50,Patrick,Kane,CGY,F,88,4,6,5,6,2,3,0,0,6,6,6,5,6,1
51,Mark,Scheifele,CGY,F,55,8,4,5,5,3,4,1,1,5,5,6,2,5,2
52,Matthew,Tkachuk,CGY,F,19,8,5,4,4,3,4,4,0,4,4,5,3,4,5
53,Anze,Kopitar,CGY,F,11,10,5,3,4,5,3,2,0,4,5,6,2,5,0
54,Jordan,Staal,CGY,F,12,10,3,3,4,4,4,6,2,3,2,5,3,3,1
55,Sean,Couturier,CGY,F,15,8,4,3,4,5,3,1,4,5,5,6,3,4,1
56,Kris,Letang,CGY,D,58,7,5,4,5,4,4,3,1,4,3,6,3,5,2
57,Mattias,Ekholm,CGY,D,14,9,5,4,4,5,4,3,0,3,2,6,3,4,2
58,Jake,Muzzin,CGY,D,08,9,4,4,3,4,4,5,4,3,1,6,3,4,2
59,Torey,Krug,CGY,D,47,5,5,5,4,3,4,2,0,4,2,6,3,5,0
60,Petr,Mrazek,CAR,G,34,5,4,4,4,4,4,0,0,0,0,4,4,4,4
61,James,Reimer,CAR,G,47,8,3,3,4,4,4,0,0,0,0,4,3,4,4
62,Sebastian,Aho,CAR,F,20,4,6,5,5,4,4,1,0,4,5,6,3,5,0
63,Teuvo,Teravainen,CAR,F,86,4,5,5,4,4,3,1,0,5,4,5,2,5,0
64,Andrei,Svechnikov,CAR,F,37,7,6,4,4,3,3,3,0,4,5,5,4,5,3
65,Erik,Haula,CAR,F,56,6,4,5,4,4,3,1,0,3,5,5,4,2,1
66,Martin,Necas,CAR,F,88,3,5,4,3,3,3,2,1,4,4,4,3,4,2
67,Ryan,Dzingel,CAR,F,18,6,4,4,4,3,3,1,4,4,4,5,3,4,1
68,Dougie,Hamilton,CAR,D,19,10,5,4,4,4,5,3,1,4,3,6,4,5,1
69,Jaccob,Slavin,CAR,D,74,8,6,4,3,5,3,2,0,4,3,6,3,4,0
70,Brett,Pesce,CAR,D,22,7,4,4,3,5,3,2,1,3,3,6,2,3,0
71,Joel,Edmundson,CAR,D,06,9,3,3,2,4,3,4,8,3,2,5,0,2,3
72,Robin,Lehner,CHI,G,40,11,5,3,4,4,5,0,0,0,0,5,5,4,4
73,Corey,Crawford,CHI,G,50,8,4,4,5,5,4,0,0,0,0,3,4,4,5
74,Patrick,Kane,CHI,F,88,4,6,5,6,2,3,0,0,6,6,6,5,6,1
75,Jonathan,Toews,CHI,F,19,7,5,4,4,5,4,1,2,4,5,6,3,5,2
76,Alex,DeBrincat,CHI,F,12,3,5,5,4,2,4,1,1,4,5,5,4,4,1
77,Dylan,Strome,CHI,F,17,7,5,4,4,3,4,1,0,4,4,5,3,4,0
78,Brandon,Saad,CHI,F,20,7,4,4,4,4,4,1,0,5,3,5,4,3,0
79,Andrew,Shaw,CHI,F,65,5,4,3,3,3,3,6,3,4,4,4,3,3,5
80,Duncan,Keith,CHI,D,02,6,5,5,4,5,2,1,2,4,2,6,2,4,0
81,Erik,Gustafsson,CHI,D,56,7,4,4,4,4,4,2,0,3,3,6,3,4,2
82,Calvin,deHaan,CHI,D,44,7,4,3,2,4,3,6,0,3,1,5,1,3,1
83,Adam,Boqvist,CHI,D,27,3,4,4,3,3,3,1,1,4,2,5,2,3,1
84,Philipp,Grubauer,COL,G,31,5,5,4,4,4,5,0,0,0,0,4,4,4,4
