Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Sean,Burke,BOS,G,01,10,4,3,2,2,4,0,0,0,0,4,4,4,4
1,Sean,Burke,BOS,G,01,10,4,3,2,2,4,0,0,0,0,4,4,4,4
2,Benoit,Hogue,BOS,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
3,Cliff,Ronning,BOS,F,07,5,5,5,4,3,2,2,0,4,3,5,1,4,1
4,Robert,Reichel,BOS,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
5,John,MacLean,BOS,F,15,9,3,3,3,4,4,3,7,3,3,4,4,2,3
6,Anatoli,Semenov,BOS,F,20,7,3,3,3,4,3,2,0,3,3,4,0,3,2
7,Terry,Yake,BOS,F,25,6,3,3,4,3,3,3,3,3,4,4,0,3,2
8,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
9,Vachslav,Fetisov,BOS,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
10,Nicklas,Lidstrom,BOS,D,05,5,4,3,3,4,4,3,4,4,1,4,2,4,1
11,Vladimir,Konstantov,BOS,D,16,6,3,3,2,4,3,4,7,3,1,4,2,3,3
12,Chris,Terreri,BUF,G,31,2,4,4,4,4,3,0,0,0,0,3,3,3,3
13,Ron,Tugnutt,BUF,G,01,2,2,3,3,3,1,0,0,0,0,1,1,1,2
14,Eric,Lindros,BUF,F,88,12,4,3,4,4,4,5,9,4,6,5,2,4,4
15,Brian,Bellows,BUF,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
16,Sergei,Makarov,BUF,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
17,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
18,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
19,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
20,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
21,Kevin,Hatcher,BUF,D,04,12,3,3,4,4,5,4,3,4,2,4,4,4,3
22,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
23,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
24,Tim,Cheveldae,CGY,G,32,6,4,4,4,4,4,0,0,0,0,4,3,4,4
25,Yvon,LeBrun,CGY,G,31,6,6,6,6,6,6,0,0,0,0,6,6,6,6
26,Cam,Neely,CGY,F,08,10,4,4,5,4,4,4,9,4,5,5,3,4,4
27,Mark,Recchi,CGY,F,88,6,5,4,5,3,4,3,4,4,5,4,1,4,3
28,Pat,Verbeek,CGY,F,16,7,3,4,4,3,4,3,7,4,4,4,2,4,4
29,Christan,Ruuttu,CGY,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
30,Craig,Simpson,CGY,F,18,8,3,3,4,3,4,2,3,4,5,3,1,3,2
31,Alex,Semak,CGY,F,20,6,4,3,4,4,3,3,1,4,4,3,2,4,2
32,James,Patrick,CGY,D,03,9,4,4,3,4,4,4,3,4,1,4,2,4,3
33,Teppo,Numminen,CGY,D,27,7,4,3,3,5,3,3,1,4,2,4,1,3,2
34,Sergei,Bautin,CGY,D,04,6,3,3,2,4,3,4,4,3,1,4,2,3,3
35,J.,Patrick,CGY,D,33,9,4,4,3,4,4,4,3,4,1,4,2,4,3
36,Felix,Potvin,CHI,G,29,6,4,4,6,6,4,0,0,0,0,4,4,4,4
37,Yvon,LeBrun,CHI,G,31,6,6,6,6,6,6,0,0,0,0,6,6,6,6
38,Reggie,Dunlap,CHI,F,07,8,6,6,6,6,6,6,14,6,6,6,3,6,6
39,Ned,Braden,CHI,F,10,8,6,6,6,6,6,6,14,6,6,6,3,6,6
40,Dave,Carlson,CHI,F,03,8,6,6,6,6,6,6,14,6,6,6,3,6,6
41,Jack,Hanson,CHI,F,16,8,6,6,6,6,6,6,14,6,6,6,3,6,6
42,Steve,Hanson,CHI,F,17,8,6,6,6,6,6,6,14,6,6,6,3,6,6
43,Jeff,Hanson,CHI,F,18,8,6,6,6,6,6,6,14,6,6,6,3,6,6
44,Billy,Charlebois,CHI,D,05,8,6,6,6,6,6,6,14,6,6,6,3,6,6
45,Morris,Wanchuk,CHI,D,02,8,6,6,6,6,6,6,14,6,6,6,3,6,6
46,Johnny,Upton,CHI,D,12,8,6,6,6,6,6,6,14,6,6,6,3,6,6
47,Jim,Ahern,CHI,D,06,8,6,6,6,6,6,6,14,6,6,6,3,6,6
48,Mike,Vernon,DET,G,30,4,3,4,4,4,4,0,0,0,0,4,4,3,3
49,Yvon,LeBrun,DET,G,31,6,6,6,6,6,6,0,0,0,0,6,6,6,6
50,Reggie,Dunlap,DET,F,07,8,6,6,6,6,6,6,14,6,6,6,3,6,6
51,Ned,Braden,DET,F,10,8,6,6,6,6,6,6,14,6,6,6,3,6,6
52,Dave,Carlson,DET,F,03,8,6,6,6,6,6,6,14,6,6,6,3,6,6
53,Jack,Hanson,DET,F,16,8,6,6,6,6,6,6,14,6,6,6,3,6,6
54,Steve,Hanson,DET,F,17,8,6,6,6,6,6,6,14,6,6,6,3,6,6
55,Jeff,Hanson,DET,F,18,8,6,6,6,6,6,6,14,6,6,6,3,6,6
56,Billy,Charlebois,DET,D,05,8,6,6,6,6,6,6,14,6,6,6,3,6,6
57,Morris,Wanchuk,DET,D,02,8,6,6,6,6,6,6,14,6,6,6,3,6,6
58,Johnny,Upton,DET,D,12,8,6,6,6,6,6,6,14,6,6,6,3,6,6
59,Jim,Ahern,DET,D,06,8,6,6,6,6,6,6,14,6,6,6,3,6,6
60,Grant,Fuhr,EDM,G,31,7,5,4,5,5,5,0,1,0,0,4,4,5,5
61,Yvon,LeBrun,EDM,G,31,6,6,6,6,6,6,0,0,0,0,6,6,6,6
62,Reggie,Dunlap,EDM,F,07,8,6,6,6,6,6,6,14,6,6,6,3,6,6
