Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Sean,Burke,BOS,G,01,10,4,3,2,2,4,0,0,0,0,4,4,4,4
1,Wendell,Young,BOS,G,31,6,3,3,2,2,3,0,0,0,0,3,2,3,3
2,Cliff,Ronning,BOS,F,07,5,5,5,4,3,2,2,0,4,3,5,1,4,1
3,Benoit,Hogue,BOS,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
4,Robert,Reichel,BOS,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
5,John,MacLean,BOS,F,15,9,3,3,3,4,4,3,7,3,3,4,4,2,3
6,Scott,Young,BOS,F,48,7,3,3,3,4,3,2,1,3,3,3,4,3,1
7,Anatoli,Semenov,BOS,F,20,7,3,3,3,4,3,2,0,3,3,4,0,3,2
8,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
9,Vachslav,Fetisov,BOS,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
10,Bryan,Marchment,BOS,D,03,8,3,3,2,4,2,4,6,2,1,3,2,1,5
11,Vladimir,Konstantov,BOS,D,16,6,3,3,2,4,3,4,7,3,1,4,2,3,3
12,Andy,Moog,BUF,G,35,4,4,4,2,2,4,0,0,0,0,4,3,4,3
13,John,Vanbiesbrk,BUF,G,33,5,3,4,5,5,3,0,0,0,0,3,4,3,4
14,Mats,Sundin,BUF,F,13,7,4,4,5,4,4,1,3,4,5,4,0,4,3
15,Brian,Bellows,BUF,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
16,Sergei,Makarov,BUF,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
17,Joe,Nieuwendyk,BUF,F,25,8,4,4,4,3,4,3,4,4,4,4,3,2,2
18,Evgeny,Davydov,BUF,F,11,6,4,4,3,3,4,1,3,3,4,3,5,3,2
19,Brent,Sutter,BUF,F,12,6,3,2,4,5,3,4,3,4,3,5,1,3,3
20,Paul,Coffey,BUF,D,77,9,6,5,4,3,4,2,4,6,1,5,1,5,3
21,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
22,Matt,Schneider,BUF,D,27,7,3,4,3,3,3,3,4,4,2,4,2,4,3
23,Tommy,Sjodin,BUF,D,32,6,4,3,3,3,4,2,1,3,1,3,3,3,1
24,Tim,Cheveldae,CGY,G,32,6,4,4,4,4,4,0,0,0,0,4,3,4,4
25,Jeff,Reese,CGY,G,35,4,2,3,4,4,2,0,0,0,0,2,2,3,3
26,Cam,Neely,CGY,F,08,10,4,4,5,4,4,4,9,4,5,5,3,4,4
27,Mark,Recchi,CGY,F,48,6,5,4,5,3,4,3,4,4,5,4,1,4,3
28,Vladimir,Ruzicka,CGY,F,38,10,4,4,3,3,4,2,6,4,3,3,3,3,2
29,Christan,Ruuttu,CGY,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
30,Craig,Simpson,CGY,F,18,8,3,3,4,3,4,2,3,4,5,3,1,3,2
31,Alexnder,Semak,CGY,F,20,6,4,3,4,4,3,3,1,4,4,3,2,4,2
32,Teppo,Numminen,CGY,D,27,7,4,3,3,5,3,3,1,4,2,4,1,3,2
33,Steve,Duchesne,CGY,D,28,8,4,4,4,4,4,2,4,4,2,4,1,4,2
34,Robert,Dirk,CGY,D,23,11,2,2,1,3,2,3,6,3,2,3,3,2,4
35,Doug,Bodger,CGY,D,05,10,2,3,3,4,2,3,6,2,1,4,1,3,3
36,Felix,Potvin,CHI,G,29,6,4,4,6,6,4,0,0,0,0,4,4,4,4
37,Ron,Tugnutt,CHI,G,01,2,2,3,3,3,1,0,0,0,0,1,1,1,2
38,Jeremy,Roenick,CHI,F,27,4,5,5,4,4,5,2,3,5,5,5,2,5,3
39,Vincent,Damphousse,CHI,F,25,6,4,4,4,3,3,2,0,5,3,4,2,4,3
40,Thomas,Steen,CHI,F,26,8,4,3,4,3,3,3,4,4,4,4,0,5,3
41,Joe,Murphy,CHI,F,17,7,4,4,4,3,4,3,2,3,3,4,2,4,3
42,Steve,Thomas,CHI,F,32,6,4,4,4,3,3,4,4,3,3,4,2,4,3
43,Tony,Amonte,CHI,F,33,6,4,4,4,3,3,1,3,3,3,4,3,3,2
44,Phil,Housley,CHI,D,06,6,6,5,4,3,3,2,4,6,2,4,0,6,2
45,Eric,Desjardins,CHI,D,28,9,4,3,3,4,3,4,3,4,2,4,2,3,3
46,J.J.,Daigneault,CHI,D,48,6,4,3,2,4,4,3,4,3,2,4,4,2,2
47,Patrice,Brisebois,CHI,D,43,5,3,3,3,3,3,3,7,2,2,4,3,2,3
48,Mike,Vernon,DET,G,30,4,3,4,4,4,4,0,0,0,0,4,4,3,3
49,Darcy,Wakaluk,DET,G,35,6,2,3,3,3,3,0,0,0,0,2,2,3,2
50,Steve,Yzerman,DET,F,19,6,6,5,6,4,4,1,1,5,5,6,1,5,2
51,Luc,Robitaille,DET,F,20,7,4,4,5,3,4,2,4,5,6,5,2,4,3
52,Dimitri,Khristich,DET,F,08,7,3,3,4,3,4,3,1,4,6,4,1,4,2
53,Mike,Ridley,DET,F,17,9,4,4,4,3,3,2,0,4,4,4,0,4,2
54,Keith,Primeau,DET,F,55,11,3,3,3,4,3,1,6,2,4,3,1,2,4
55,John,Leclair,DET,F,10,11,3,4,3,3,3,3,0,3,3,3,2,2,2
56,Steve,Smith,DET,D,05,11,4,4,3,4,4,4,6,4,1,5,2,4,4
57,Al,MacInnis,DET,D,02,8,4,4,4,3,6,3,5,4,1,5,2,4,3
58,Scott,Niedrmayer,DET,D,27,9,3,3,3,3,3,3,4,3,2,3,1,3,2
59,Curtis,Leschyshyn,DET,D,07,9,3,4,3,4,2,3,4,2,3,4,0,3,2
60,Grant,Fuhr,EDM,G,31,7,5,4,5,5,5,0,1,0,0,4,4,5,5
61,J.C.,Bergeron,EDM,G,30,7,2,3,2,2,2,0,0,0,0,1,1,1,1
62,Mark,Messier,EDM,F,11,10,5,4,4,4,3,5,4,5,3,4,0,5,3
