Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,John,Gibson,ANA,G,36,10,5,4,4,4,4,0,0,0,0,4,4,3,5
1,Jonathan,Bernier,ANA,G,01,5,4,4,4,4,3,0,0,0,0,3,3,3,3
2,Ryan,Getzlaf,ANA,F,15,10,4,4,6,4,5,1,5,5,2,6,2,6,2
3,Corey,Perry,ANA,F,10,8,3,4,5,3,5,4,7,4,5,5,5,4,2
4,Ryan,Kesler,ANA,F,17,7,3,4,4,4,4,4,5,4,4,5,4,4,3
5,Jakob,Silfverberg,ANA,F,33,7,3,4,4,3,4,3,1,4,3,5,5,3,0
6,Rickard,Rakell,ANA,F,67,7,4,4,4,2,4,3,1,4,3,4,4,3,0
7,Andrew,Cogliano,ANA,F,07,5,3,5,3,4,3,4,6,3,3,4,2,3,1
8,Antoine,Vermette,ANA,F,50,7,3,3,4,4,3,3,0,3,4,4,3,4,4
9,Nick,Ritchie,ANA,F,37,11,3,3,3,3,4,6,0,3,2,4,4,2,3
10,Ryan,Garbutt,ANA,F,16,7,4,3,3,3,3,4,4,3,3,4,4,3,3
11,Emerson,Etem,ANA,F,26,9,3,4,3,3,3,2,4,3,3,4,4,2,0
12,Chris,Wagner,ANA,F,21,6,3,4,2,3,3,5,1,2,1,3,3,2,3
13,Nate,Thompson,ANA,F,44,9,2,3,2,5,2,4,4,1,3,4,3,2,4
14,Jared,Boll,ANA,F,40,9,4,3,1,4,3,5,15,1,1,3,4,2,6
15,Joseph,Cramarossa,ANA,F,74,6,4,3,2,2,3,4,0,2,1,3,3,2,4
16,Nick,Sorensen,ANA,F,59,5,4,4,2,1,3,1,1,3,1,4,3,3,2
17,Hampus,Lindholm,ANA,D,47,8,4,5,3,5,4,4,0,4,2,6,3,3,1
18,Sami,Vatanen,ANA,D,45,5,5,4,4,4,4,3,1,4,2,6,4,4,0
19,Cam,Fowler,ANA,D,04,8,3,5,4,3,5,1,4,4,3,6,3,4,0
20,Kevin,Bieksa,ANA,D,02,7,3,3,2,4,4,5,5,3,2,6,3,3,3
21,Josh,Manson,ANA,D,42,9,3,4,1,4,3,5,5,3,2,5,1,2,3
22,Shea,Theodore,ANA,D,53,6,4,4,3,3,4,0,0,3,3,5,3,3,0
23,Jacob,Larsson,ANA,D,51,6,4,4,2,3,3,2,0,3,2,5,2,3,0
24,Simon,Despres,ANA,D,06,9,3,3,2,3,2,5,2,2,2,6,1,3,0
25,Clayton,Stoner,ANA,D,03,9,3,4,2,4,3,4,6,1,1,5,2,2,4
26,Mike,Smith,ARI,G,41,9,4,3,5,5,3,0,0,0,0,5,3,4,5
27,Louis,Domingue,ARI,G,35,8,5,4,3,3,3,0,1,0,0,3,3,5,3
28,Justin,Peters,ARI,G,40,8,2,3,3,3,3,0,0,0,0,3,3,3,2
29,Max,Domi,ARI,F,16,7,5,5,4,2,4,0,0,5,3,5,3,5,3
30,Shane,Doan,ARI,F,19,10,3,3,5,4,5,4,3,3,4,4,4,3,4
31,Anthony,Duclair,ARI,F,10,5,5,5,4,2,3,1,0,4,5,4,2,3,2
32,Radim,Vrbata,ARI,F,17,6,5,4,4,2,4,2,1,4,4,5,4,4,1
33,Martin,Hanzal,ARI,F,11,11,3,4,4,4,4,3,4,3,3,5,3,4,3
34,Jamie,McGinn,ARI,F,88,8,4,3,4,3,4,4,2,3,4,4,4,2,1
35,Tobias,Rieder,ARI,F,08,5,4,4,4,2,3,2,0,4,3,4,4,3,1
36,Christian,Dvorak,ARI,F,18,6,4,4,3,2,3,1,0,4,4,4,3,4,1
37,Jordan,Martinook,ARI,F,48,7,3,4,3,3,4,3,0,3,3,4,3,3,2
38,Lawson,Crouse,ARI,F,67,9,3,4,3,2,4,3,0,3,3,4,4,3,2
