Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Gerry,Cheevers,BOS,G,31,6,4,4,2,2,4,0,0,0,0,4,3,4,3
1,Ed,Johnston,BOS,G,1,6,2,3,3,3,2,0,0,0,0,2,2,2,2
2,Johnny,Bucyk,BOS,F,9,9,4,3,4,4,4,4,0,4,3,4,2,4,1
3,Pit,Martin,BOS,F,7,4,4,4,4,3,3,2,5,4,3,4,2,3,3
4,John,McKenzie,BOS,F,19,4,4,4,4,3,4,3,5,3,2,4,2,3,4
5,Ed,Westfall,BOS,F,18,7,4,3,3,5,3,4,1,3,2,4,2,3,2
6,Murray,Oliver,BOS,F,16,4,4,4,3,3,3,2,0,3,2,3,2,4,1
7,Wayne,Connelly,BOS,F,17,4,3,3,3,3,3,3,1,3,3,3,2,3,1
8,Bobby,Orr,BOS,D,4,7,6,5,4,3,4,2,8,6,1,5,1,5,4
9,Ted,Green,BOS,D,6,8,2,3,2,4,2,3,3,3,1,4,1,4,3
10,Gillies,Marotte,BOS,D,10,8,2,2,3,4,3,3,4,2,2,4,1,3,4
11,Joe,Watson,BOS,D,14,6,3,3,2,3,3,3,0,3,1,3,1,3,2
12,Glenn,Hall,CHI,G,1,5,6,4,6,6,5,0,0,0,0,6,6,5,5
13,Dennis,DeJordy,CHI,G,30,6,6,4,4,4,6,0,0,0,0,5,5,6,6
14,Stan,Mikita,CHI,F,21,4,6,5,6,4,4,1,1,5,5,6,2,5,1
15,Bobby,Hull,CHI,F,9,7,5,5,5,4,5,2,4,5,5,5,2,5,3
16,Kenny,Wharram,CHI,F,17,3,5,5,4,4,5,2,3,5,4,5,2,5,2
17,Phil,Esposito,CHI,F,7,8,4,4,4,4,4,3,0,4,4,4,2,4,3
18,Doug,Mohns,CHI,F,11,6,4,4,4,3,4,2,4,4,5,4,2,4,3
19,Dennis,Hull,CHI,F,10,7,4,4,4,3,5,2,2,4,3,3,2,3,2
20,Pierre,Pilote,CHI,D,3,5,4,4,4,6,5,4,0,5,1,6,1,4,4
21,Pat,Stapleton,CHI,D,12,5,4,3,3,4,2,3,2,4,1,4,1,4,3
22,Doug,Jarrett,CHI,D,20,8,4,3,2,4,3,4,0,4,1,3,1,3,3
23,Ed,VanImpe,CHI,D,2,8,3,3,2,4,3,4,4,3,1,4,1,3,4
24,Roger,Crozier,DET,G,1,3,3,4,3,3,3,0,1,0,0,3,3,3,3
25,Hank,Bassen,DET,G,30,5,2,4,4,4,2,0,0,0,0,2,2,2,2
26,Norm,Ullman,DET,F,7,4,5,4,5,4,3,3,0,5,4,6,2,5,2
27,Gordie,Howe,DET,F,9,8,4,4,4,4,4,4,3,4,5,5,2,4,3
28,Alex,Delvecchio,DET,F,10,7,4,3,4,4,4,3,0,4,4,4,2,4,1
29,Ted,Hampson,DET,F,16,4,4,4,4,4,3,2,0,4,4,3,2,4,0
30,Bruce,MacGregor,DET,F,12,5,4,4,4,3,4,3,1,4,4,4,2,2,1
31,Dean,Prentice,DET,F,20,5,4,4,4,3,4,2,0,4,3,4,2,4,1
32,Gary,Bergman,DET,D,2,6,3,3,3,4,4,4,6,3,3,4,1,2,5
33,Leo,Boivin,DET,D,4,5,4,2,2,4,4,4,0,4,1,3,1,4,3
34,Howie,Young,DET,D,22,4,2,3,2,4,2,4,5,3,1,4,1,3,4
35,Bert,Marshall,DET,D,3,8,2,2,3,4,3,2,4,3,0,4,1,3,3
36,Rogie,Vachon,MTL,G,29,4,5,4,5,5,5,0,0,0,0,4,4,5,5
37,Gump,Worsley,MTL,G,1,5,4,4,5,5,4,0,0,0,0,3,4,3,4
38,Bobby,Rousseau,MTL,F,15,5,5,4,4,2,5,2,1,5,5,4,2,4,3
39,Henri,Richard,MTL,F,16,3,5,4,4,3,3,2,3,5,3,4,2,4,2
40,Jean,Beliveau,MTL,F,4,8,4,4,4,3,3,2,0,5,3,4,2,4,2
41,John,Ferguson,MTL,F,22,6,4,4,3,4,3,4,12,4,2,4,2,3,5
42,Ralph,Backstrom,MTL,F,6,3,4,3,3,4,3,4,4,3,3,4,2,4,2
