Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Andy,Moog,BOS,G,35,4,5,4,2,2,4,0,0,0,0,4,3,4,3
1,John,Blue,BOS,G,39,6,4,4,5,5,3,0,0,0,0,4,3,4,3
2,Adam,Oates,BOS,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
3,Dave,Poulin,BOS,F,19,7,4,3,3,4,3,4,4,3,3,4,1,4,2
4,Vladimir,Ruzicka,BOS,F,38,10,4,4,3,3,4,2,6,4,3,3,3,3,2
5,Ted,Donato,BOS,F,21,4,3,4,3,4,3,3,0,3,3,3,3,3,2
6,Joe,Juneau,BOS,F,49,5,4,4,4,3,4,2,0,4,3,4,0,4,1
7,Dmitri,Kvartalnov,BOS,F,10,6,4,4,4,2,3,2,0,4,3,4,2,4,1
8,Dave,Reid,BOS,F,17,9,2,3,3,3,3,1,4,2,4,4,4,2,0
9,Gregori,Pantaleyev,BOS,F,13,6,4,4,2,2,2,1,2,3,3,2,4,3,1
10,Brent,Hughes,BOS,F,42,6,3,3,1,3,2,3,6,3,2,2,5,3,4
11,Cam,Neely,BOS,F,08,10,4,4,5,4,4,4,9,4,5,5,3,4,4
12,Stephen,Leach,BOS,F,27,6,3,3,3,3,3,3,7,3,2,4,5,3,3
13,Stephen,Heinze,BOS,F,23,6,3,3,3,3,3,3,3,3,3,3,5,3,1
14,C.J.,Young,BOS,F,18,6,3,3,2,2,3,2,5,3,3,2,3,2,2
15,Darin,Kimble,BOS,F,29,9,1,1,2,1,1,2,9,2,4,1,3,1,5
16,Peter,Douris,BOS,F,16,8,3,4,3,3,3,2,5,3,3,2,4,2,1
17,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
18,Don,Sweeney,BOS,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
