Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Andy,Moog,CGY,G,35,4,5,4,2,2,4,0,0,0,0,3,5,4,4
1,Goaltender,01,CGY,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
2,Jeremy,Roenick,CGY,F,27,4,5,5,4,4,5,2,3,5,5,5,2,5,3
3,Adam,Oates,CGY,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
4,Luc,Robitaille,CGY,F,20,7,4,4,5,3,4,2,4,5,6,5,2,4,3
5,Forward,Four,CGY,F,04,7,4,4,4,4,4,4,4,4,4,4,4,4,4
6,Forward,Five,CGY,F,05,7,4,4,4,4,4,4,4,4,4,4,4,4,4
7,Larry,Murphy,CGY,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
8,Glen,Wesley,CGY,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
9,Defensemen,Eight,CGY,D,08,7,4,4,4,4,4,4,4,4,4,4,4,4,4
10,Defensemen,Nine,CGY,D,09,7,4,4,4,4,4,4,4,4,4,4,4,4,4
11,Ed,Belfour,CHI,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
12,Goaltender,01,CHI,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
13,Mike,Modano,CHI,F,09,7,5,5,4,4,5,2,4,5,2,5,2,4,3
14,Brian,Bradley,CHI,F,19,4,4,3,4,3,4,3,3,3,5,4,2,3,3
15,Gary,Roberts,CHI,F,10,7,4,4,5,4,4,4,8,4,5,5,1,3,4
16,Forward,Four,CHI,F,04,7,4,4,4,4,4,4,4,4,4,4,4,4,4
17,Forward,Five,CHI,F,05,7,4,4,4,4,4,4,4,4,4,4,4,4,4
18,Dave,Ellett,CHI,D,04,9,4,4,3,4,5,4,4,4,1,4,2,4,2
19,Steve,Duchesne,CHI,D,28,8,4,4,4,4,4,2,4,4,2,4,1,4,2
20,Defensemen,Eight,CHI,D,08,7,4,4,4,4,4,4,4,4,4,4,4,4,4
21,Defensemen,Nine,CHI,D,09,7,4,4,4,4,4,4,4,4,4,4,4,4,4
22,Tom,Barrasso,COL,G,35,10,5,4,5,5,4,0,1,0,0,5,4,4,5
23,Goaltender,01,COL,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
24,Alexnder,Mogilny,COL,F,89,7,6,6,6,3,4,2,4,5,5,4,4,5,2
25,Theoren,Fleury,COL,F,14,3,5,5,4,5,4,4,7,4,3,6,1,3,3
26,Andrei,Kovalenko,COL,F,51,3,3,4,4,3,3,3,4,3,4,4,1,3,2
27,Forward,Four,COL,F,04,7,4,4,4,4,4,4,4,4,4,4,4,4,4
28,Forward,Five,COL,F,05,7,4,4,4,4,4,4,4,4,4,4,4,4,4
29,Alexei,Zhitnik,COL,D,02,5,4,4,3,4,3,3,4,3,2,4,1,3,3
30,Defensemen,Seven,COL,D,07,7,4,4,4,4,4,4,4,4,4,4,4,4,4
31,Defensemen,Eight,COL,D,08,7,4,4,4,4,4,4,4,4,4,4,4,4,4
32,Defensemen,Nine,COL,D,09,7,4,4,4,4,4,4,4,4,4,4,4,4,4
33,Grant,Fuhr,DAL,G,31,7,6,4,5,5,5,0,1,0,0,5,4,5,6
34,Goaltender,01,DAL,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
35,Russ,Courtnall,DAL,F,26,6,5,6,4,2,4,2,1,3,3,3,4,3,2
36,Brett,Hull,DAL,F,16,9,4,4,5,3,6,3,3,5,3,4,4,3,2
37,Dale,Hawerchuk,DAL,F,10,6,5,4,4,4,3,2,0,5,1,3,0,5,2
38,Forward,Four,DAL,F,04,7,4,4,4,4,4,4,4,4,4,4,4,4,4
39,Forward,Five,DAL,F,05,7,4,4,4,4,4,4,4,4,4,4,4,4,4
40,Scott,Stevens,DAL,D,04,11,4,4,3,4,4,5,6,4,2,5,0,4,3
