Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Sean,Burke,ANH,G,01,10,5,3,2,2,4,0,0,0,0,5,4,4,5
1,Mark,Recchi,ANH,F,08,6,5,4,5,3,4,3,4,4,5,4,1,4,3
2,Dino,Ciccarelli,ANH,F,22,5,5,4,4,2,5,2,3,5,5,4,1,4,3
3,Jimmy,Carson,ANH,F,12,9,4,4,4,3,4,2,3,4,5,4,2,4,1
4,Andrei,Kovalenko,ANH,F,51,3,3,4,4,3,3,3,4,3,4,4,1,3,2
5,Larry,Murphy,ANH,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
6,Rob,Blake,ANH,D,04,11,4,4,4,4,4,3,3,4,1,4,3,4,4
7,Jeff,Brown,ANH,D,21,9,3,3,4,4,5,2,3,4,3,5,1,4,2
8,Mark,Tinordi,ANH,D,24,9,3,3,3,4,4,4,4,3,3,4,2,2,4
9,Andy,Moog,BOS,G,35,4,4,4,2,2,4,0,0,0,0,4,3,4,3
10,Adam,Oates,BOS,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
11,Dave,Poulin,BOS,F,19,7,4,3,3,4,3,4,4,3,3,4,1,4,2
12,Vladimir,Ruzicka,BOS,F,38,10,4,4,3,3,4,2,6,4,3,3,3,3,2
13,Ted,Donato,BOS,F,21,4,3,4,3,4,3,3,0,3,3,3,3,3,2
14,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
15,Don,Sweeney,BOS,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
16,Glen,Wesley,BOS,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
17,David,Shaw,BOS,D,34,9,2,2,2,4,2,3,3,2,2,4,5,2,3
18,Grant,Fuhr,BUF,G,31,7,5,4,5,5,5,0,1,0,0,4,4,5,5
19,Pat,LaFontaine,BUF,F,16,5,5,4,6,4,3,3,3,5,4,6,0,5,2
20,Dale,Hawerchuk,BUF,F,10,6,5,4,4,4,3,2,0,5,1,3,0,5,2
21,Bob,Sweeney,BUF,F,20,9,4,2,3,5,3,4,7,3,4,4,2,3,3
22,Dave,Hannan,BUF,F,14,6,2,2,2,3,2,2,6,2,3,2,0,2,2
23,Petr,Svoboda,BUF,D,07,5,4,4,3,4,3,3,6,4,0,4,0,3,3
