Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,John,Gibson,ANA,G,36,9,5,4,4,4,4,0,0,0,0,5,5,5,5
1,Ryan,Miller,ANA,G,30,3,4,3,5,5,3,0,0,0,0,4,4,3,4
2,Ryan,Getzlaf,ANA,F,15,10,3,4,6,4,4,1,5,5,4,6,1,6,2
3,Corey,Perry,ANA,F,10,8,4,3,5,3,4,3,7,4,5,5,4,4,2
4,Rickard,Rakell,ANA,F,67,7,4,4,4,2,4,4,1,4,5,5,5,3,0
5,Ryan,Kesler,ANA,F,17,7,2,4,4,5,3,5,5,3,4,6,4,4,3
6,Jakob,Silfverberg,ANA,F,33,7,4,3,4,3,5,3,1,4,3,5,5,3,0
7,Adam,Henrique,ANA,F,14,6,4,3,4,3,2,2,0,4,5,5,2,3,0
8,Andrew,Cogliano,ANA,F,07,5,3,5,3,4,3,3,6,3,3,4,2,3,1
9,Patrick,Eaves,ANA,F,18,7,3,3,4,3,3,3,1,3,5,4,4,3,1
10,Nick,Ritchie,ANA,F,37,11,3,3,3,3,4,6,0,3,3,4,4,2,3
11,Antoine,Vermette,ANA,F,50,7,3,2,3,4,2,4,0,3,5,4,3,4,4
12,Chris,Wagner,ANA,F,21,7,3,3,2,3,2,6,1,2,4,3,3,2,2
13,Ondrej,Kase,ANA,F,25,5,4,3,3,2,3,2,1,3,2,4,3,3,2
14,J.T.,Brown,ANA,F,71,4,3,3,2,3,3,6,1,2,1,4,3,2,0
15,Dennis,Rasmussen,ANA,F,22,8,3,2,2,3,2,4,0,2,2,3,3,1,1
16,Derek,Grant,ANA,F,38,8,2,2,2,3,2,4,0,2,0,3,3,2,3
17,Cam,Fowler,ANA,D,04,8,4,5,4,3,5,1,4,4,3,6,2,4,0
18,Hampus,Lindholm,ANA,D,47,8,5,4,3,5,4,4,0,3,2,6,1,3,1
19,Brandon,Montour,ANA,D,26,6,4,4,4,3,4,4,1,3,2,6,3,3,2
20,Josh,Manson,ANA,D,42,9,4,3,2,4,3,6,7,3,2,5,2,2,3
21,Francois,Beauchemin,ANA,D,23,8,2,3,2,4,3,3,0,3,2,6,2,3,0
22,Kevin,Bieksa,ANA,D,02,8,2,2,2,4,3,5,5,2,1,6,1,3,3
23,Korbinian,Holzer,ANA,D,05,9,3,2,1,3,2,3,1,2,2,4,0,1,3
24,Jaycob,Megna,ANA,D,75,9,2,3,1,2,3,2,0,2,1,4,2,2,3
25,Jacob,Larsson,ANA,D,51,6,3,2,1,2,2,1,0,1,1,4,1,2,0
26,Corey,Crawford,ARI,G,50,8,4,4,5,5,5,0,0,0,0,4,5,5,5
27,Alexander,Ovechkin,ARI,F,08,11,4,5,6,2,6,5,1,5,3,6,6,4,1
28,Blake,Wheeler,ARI,F,26,10,4,5,5,4,4,2,1,4,4,6,3,6,1
29,Ryan,Getzlaf,ARI,F,15,10,3,4,6,4,4,1,5,5,4,6,1,6,2
30,Milan,Lucic,ARI,F,27,11,3,3,4,3,3,6,14,3,5,5,3,4,3
31,Nick,Ritchie,ARI,F,37,11,3,3,3,3,4,6,0,3,3,4,4,2,3
32,Brent,Burns,ARI,D,88,11,4,5,5,4,5,2,3,4,3,6,4,5,1
33,Rasmus,Ristolainen,ARI,D,55,9,4,3,4,4,5,5,1,3,1,6,3,4,0
34,Justin,Faulk,ARI,D,28,9,3,4,4,3,5,4,1,3,3,6,3,3,0
35,Dion,Phaneuf,ARI,D,02,9,2,3,4,4,4,4,6,4,2,6,3,2,4
36,Tuukka,Rask,BOS,G,40,4,5,4,5,5,5,0,0,0,0,5,5,4,5
37,Anton,Khudobin,BOS,G,35,5,3,3,4,4,3,0,0,0,0,3,3,3,2
38,Brad,Marchand,BOS,F,63,5,5,5,5,4,5,1,2,4,5,5,3,4,3
39,David,Pastrnak,BOS,F,88,5,5,5,4,2,4,3,1,4,5,5,4,4,0
40,Patrice,Bergeron,BOS,F,37,6,4,4,4,5,3,3,5,5,4,5,4,4,1
41,David,Krejci,BOS,F,46,6,4,3,5,3,3,2,3,4,5,5,1,5,1
42,David,Backes,BOS,F,42,10,3,3,4,4,4,5,11,3,3,5,4,3,2
43,Danton,Heinen,BOS,F,43,5,4,4,3,3,3,3,0,4,4,4,3,3,0
44,Jake,DeBrusk,BOS,F,74,5,4,4,3,2,3,2,0,4,3,4,3,3,1
45,Frank,Vatrano,BOS,F,72,7,3,4,3,2,2,3,0,3,3,4,4,2,0
46,Ryan,Spooner,BOS,F,51,5,4,4,3,2,3,1,0,3,2,4,3,4,1
