Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Jon,Casey,BOS,G,30,2,4,3,4,4,3,0,0,0,0,2,2,3,4
1,Jon,Casey,BOS,G,30,2,4,3,4,4,3,0,0,0,0,2,2,3,4
2,Benoit,Hogue,BOS,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
3,Cliff,Ronning,BOS,F,07,5,5,5,4,3,2,2,0,4,3,5,1,4,1
4,Robert,Reichel,BOS,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
5,Benoit,Hogue,BOS,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
6,Cliff,Ronning,BOS,F,07,5,5,5,4,3,2,2,0,4,3,5,1,4,1
7,Robert,Reichel,BOS,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
8,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
9,Vachslav,Fetisov,BOS,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
10,Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
11,Vachslav,Fetisov,BOS,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
12,Chris,Terreri,BUF,G,31,2,4,4,4,4,3,0,0,0,0,3,3,3,3
13,Chris,Terreri,BUF,G,31,2,4,4,4,4,3,0,0,0,0,3,3,3,3
14,Eric,Lindros,BUF,F,88,12,4,3,4,4,4,5,9,4,6,5,2,4,4
15,Brian,Bellows,BUF,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
16,Sergei,Makarov,BUF,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
17,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
18,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
19,B.,Bellows,BUF,F,24,8,4,4,4,3,4,2,3,4,4,4,2,4,2
20,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
21,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
22,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
23,Al,Iafrate,BUF,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
24,Denis,Lemieux,CGY,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
25,Yvon,LeBrun,CGY,G,31,6,6,6,6,6,6,0,0,0,0,6,6,6,6
26,Reggie,Dunlap,CGY,F,07,8,6,6,6,6,6,6,14,6,6,6,3,6,6
27,Ned,Braden,CGY,F,10,8,6,6,6,6,6,6,14,6,6,6,3,6,6
28,Dave,Carlson,CGY,F,03,8,6,6,6,6,6,6,14,6,6,6,3,6,6
29,Jack,Hanson,CGY,F,16,8,6,6,6,6,6,6,14,6,6,6,3,6,6
30,Steve,Hanson,CGY,F,17,8,6,6,6,6,6,6,14,6,6,6,3,6,6
31,Jeff,Hanson,CGY,F,18,8,6,6,6,6,6,6,14,6,6,6,3,6,6
32,Billy,Charlebois,CGY,D,05,8,6,6,6,6,6,6,14,6,6,6,3,6,6
33,Morris,Wanchuk,CGY,D,02,8,6,6,6,6,6,6,14,6,6,6,3,6,6
34,Johnny,Upton,CGY,D,12,8,6,6,6,6,6,6,14,6,6,6,3,6,6
35,Jim,Ahern,CGY,D,06,8,6,6,6,6,6,6,14,6,6,6,3,6,6
36,Denis,Lemieux,CHI,G,01,6,6,6,6,6,6,0,0,0,0,6,6,6,6
