Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
Player,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
0,Ed,Belfour,ANH,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
1,Mario,Lemieux,ANH,F,66,10,5,4,6,4,4,3,3,6,6,6,0,6,2
2,Mark,Recchi,ANH,F,08,6,5,4,5,3,4,3,4,4,5,4,1,4,3
3,Sergei,Makarov,ANH,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
4,Paul,Ysebaert,ANH,F,21,7,4,4,4,4,3,2,6,4,4,3,3,4,2
5,Steve,Smith,ANH,D,05,11,4,4,3,4,4,4,6,4,1,5,2,4,4
6,Jyrki,Lumme,ANH,D,31,7,4,3,3,4,2,3,4,4,1,4,1,4,2
7,Vladimir,Konstantov,ANH,D,16,6,3,3,2,4,3,4,7,3,1,4,2,3,3
8,Tim,Cheveldae,BOS,G,32,6,5,4,4,4,4,0,0,0,0,5,4,4,4
9,Frank,Pietrngelo,BOS,G,40,6,4,3,1,1,3,0,0,0,0,3,2,3,2
10,Pierre,Turgeon,BOS,F,77,9,4,4,5,3,4,3,4,4,5,5,1,4,1
11,Wayne,Gretzky,BOS,F,99,4,6,4,5,4,2,2,2,6,2,6,0,6,0
12,Ron,Francis,BOS,F,10,9,4,3,4,4,4,4,4,4,3,4,0,4,2
13,Sergei,Nemchinov,BOS,F,13,6,4,3,3,5,3,4,0,3,4,5,2,3,2
14,Michal,Pivonka,BOS,F,20,8,3,3,4,3,3,3,4,4,3,4,0,4,3
15,Doug,Weight,BOS,F,39,6,3,3,3,4,3,3,4,4,3,3,1,3,2
16,Doug,Bodger,BOS,D,08,10,2,3,3,4,2,3,6,2,1,4,1,3,3
17,Richard,Smehlik,BOS,D,42,10,3,3,3,4,3,4,4,3,1,3,0,3,2
18,Dana,Murzyn,BOS,D,05,9,2,3,2,3,4,4,6,2,1,4,4,2,4
19,Peter,Taglianeti,BOS,D,33,9,2,2,2,3,3,4,4,3,0,4,3,2,4
20,Ron,Hextall,BUF,G,27,7,5,4,4,4,4,0,0,0,0,4,5,3,4
21,Darcy,Wakaluk,BUF,G,35,6,3,3,3,3,3,0,0,0,0,3,2,4,2
22,Dave,Andreychuk,BUF,F,14,11,3,3,4,4,4,4,3,3,4,5,4,3,2
23,Geoff,Sanderson,BUF,F,08,6,4,4,4,3,4,2,0,4,4,4,3,3,1
24,Christan,Ruuttu,BUF,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
25,Yuri,Khmylev,BUF,F,13,7,4,3,3,4,4,3,1,3,4,3,3,3,2
26,Peter,Stastny,BUF,F,26,9,4,3,3,4,3,3,0,4,4,3,2,4,1
27,Dale,Hunter,BUF,F,32,8,2,2,4,4,3,4,6,2,4,4,0,4,4
28,Ray,Bourque,BUF,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
29,Larry,Murphy,BUF,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
30,Alexei,Gusarov,BUF,D,05,6,3,3,3,3,3,3,0,3,3,4,0,3,2
31,Sergei,Bautin,BUF,D,03,6,3,3,2,4,3,4,4,3,1,4,2,3,3
32,Tim,Cheveldae,CGY,G,32,6,5,4,4,4,4,0,0,0,0,5,3,4,5
